station_id,站点名称,站点类型,容量,需求等级,平均流出,平均流入,平均净流量,流出标准差,流入标准差,早高峰净流出,晚高峰净流入,潮汐指数,工作日平均流出,周末平均流出,工作日周末流出差异,调入次数,调出次数,净调度,聚类标签,聚类名称,关键度评分
S006,金融中心,business,70,高,22.785714285714285,46.57142857142857,23.785714285714285,5.4232912435243525,14.732038794171261,-20.14,3.64,23.79,25.2,16.75,8.45,0,12,-64,2,需求型站点（商务区）,38.36514285714286
S002,锦绣家园,residential,35,高,38.57142857142857,27.285714285714285,-11.285714285714286,11.05729335161803,5.862902555358257,12.86,1.57,15.0,44.5,23.75,20.75,17,0,76,0,供给型站点（居民区）,37.957142857142856
S001,华苑小区,residential,40,高,40.785714285714285,29.285714285714285,-11.5,11.226195817260294,5.862902555358257,13.29,1.79,15.64,46.8,25.75,21.049999999999997,17,0,64,0,供给型站点（居民区）,36.94942857142857
S005,科技大厦,business,60,高,25.142857142857142,43.42857142857143,18.285714285714285,5.586482901503522,14.23275899365364,-16.86,1.43,18.29,27.7,18.75,8.95,0,10,-48,2,需求型站点（商务区）,33.82942857142857
S003,阳光新城,residential,38,中,36.5,25.642857142857142,-10.857142857142858,10.345939374385562,5.678666458531681,12.14,1.29,14.29,42.0,22.75,19.25,14,0,48,0,供给型站点（居民区）,31.100857142857144
S007,时代广场,business,65,中,27.428571428571427,40.714285714285715,13.285714285714286,5.800719925005141,11.912686007449702,-13.43,-0.14,14.0,30.1,20.75,9.350000000000001,0,10,-39,2,需求型站点（商务区）,31.042857142857144
S004,绿城花园,residential,39,中,34.857142857142854,24.642857142857142,-10.214285714285714,9.875043469093365,5.678666458531681,11.86,1.64,14.36,40.1,21.75,18.35,12,0,35,0,供给型站点（居民区）,27.721999999999998
S009,大学城站,education,45,高,30.857142857142858,32.357142857142854,1.5,7.823604745179245,9.564414356249,-0.86,0.64,2.5,34.8,21.0,13.799999999999997,0,14,-34,1,平衡型站点（交通枢纽）,26.264285714285712
S008,地铁站口,transport,50,高,33.142857142857146,34.214285714285715,1.0714285714285714,8.122685638261643,9.775783041062953,-0.5,0.57,2.21,37.3,22.75,14.549999999999997,0,9,-28,1,平衡型站点（交通枢纽）,26.249142857142857
S010,商业街口,transport,55,中,28.928571428571427,30.642857142857142,1.7142857142857142,7.395053291681757,9.145046097853642,-1.0,0.71,2.57,32.6,19.75,12.850000000000001,0,5,-10,1,平衡型站点（交通枢纽）,20.38542857142857
